ID;Nom;Statut;Etape;Pipeline;Montant HT;Probabilite %;Date cloture;Client;Email client;Responsable;Tags;Source;Date creation;Description
1194284;75-Delaunay-Paris-Eglise-Suédoise-Panneau-DP-201709;won;Devis froid;Commercial;565.00;30;;;;;;Appel entrant / Emailing / Marketing;2018-01-23;
1194574;75-Rougier et Plé-Paris3-Habillage façade boutique-201801;won;Devis froid;Commercial;37517.00;30;;;;;;Appel entrant / Emailing / Marketing;2018-01-23;
1195802;93-Syctom-St Ouen-Palissade-201801;won;Devis froid;Commercial;9632.00;30;;;;;;Bouche à oreille / Prescription;2018-01-24;
1195928;92-PLD-Puteaux-RDCPanneauxVoirie-201801;cancelled;Devis froid;Commercial;5200.00;30;;;;;;Client existant;2018-01-24;
1196025;92-PLD-Puteaux-Signalétique Coupole-201801;won;Devis froid;Commercial;1855.00;30;;;;;;Client existant;2018-01-24;
1196551;80-etats d'esprit-Amiens-Réintervention-201801;cancelled;Devis froid;Commercial;2518.20;30;;;;;;Client existant;2018-01-24;
1197152;92-Foncière Habitat-Puteaux-Palissade SCCV PUTEAUX 2-201710;closed;Devis froid;Commercial;5121.00;30;;;;;;Client existant;2018-01-24;
1199629;75-Groupe Legendre-Paris-Habillage façade-201710;won;Devis froid;Commercial;20618.30;30;;;;;;Appel entrant / Emailing / Marketing;2018-01-25;
1199782;92-Sennse-T10-Nanterre-2p-201801;lost;Devis froid;Commercial;224.00;30;;;;;;Client existant;2018-01-25;
1200642;75-Ville de Paris-Collectif Chapelle Charbon-Paris18-palissade bois-201801;lost;Devis froid;Commercial;34529.12;30;;;;;;Appel entrant / Emailing / Marketing;2018-01-25;
1202013;78-Unibail-Velizy-Candelize-201611;lost;Devis froid;Commercial;7200.00;30;;;;;;Client existant;2018-01-25;
1202752;75-Collection Pinault-Paris1-Bache module Bourse Commerce-201708;won;Devis froid;Commercial;1150.00;30;;;;;;Appel entrant / Emailing / Marketing;2018-01-25;
1202756;75-Collection Pinault-Paris1-Bache module Bourse Commerce-201801;won;Devis froid;Commercial;4869.00;30;;;;;;Client existant;2018-01-25;
1204110;94-Fontenay-sous-bois-Ville-Palissade mobile-201801;closed;Devis froid;Commercial;33000.00;30;;;;;;Appel entrant / Emailing / Marketing;2018-01-26;
